date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:37	464286/464286	---MCZ	200	added ('OK')	text/html	etag:W/%225457f09b31c978f132ad92882f8d5b97%22	https://sudharshanportfolio.wixsite.com/portfolio	C:/My%20Web%20Sites/SUDHARSHAN/sudharshanportfolio.wixsite.com/portfolio.html	(from )
17:24:37	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://sudharshanportfolio.wixsite.com/robots.txt		(from )
17:24:37	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/SUDHARSHAN/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://sudharshanportfolio.wixsite.com/portfolio)
17:24:37	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/SUDHARSHAN/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://sudharshanportfolio.wixsite.com/portfolio)
17:24:38	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2021%20Jun%202024%2011:54:38%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/SUDHARSHAN/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://sudharshanportfolio.wixsite.com/portfolio)
17:24:38	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jun%202024%2011:54:39%20GMT	https://sudharshanportfolio.wixsite.com/location.href	C:/My%20Web%20Sites/SUDHARSHAN/sudharshanportfolio.wixsite.com/location.4.delayed	(from https://sudharshanportfolio.wixsite.com/portfolio)
17:24:39	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jun%202024%2011:54:39%20GMT	https://sudharshanportfolio.wixsite.com/	C:/My%20Web%20Sites/SUDHARSHAN/sudharshanportfolio.wixsite.com/index.html	(from https://sudharshanportfolio.wixsite.com/portfolio)
17:24:39	1481/1481	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2011:54:39%20GMT	https://static.wixstatic.com/media/590b2b_75d8dabd685e4c7ea40e6cd5cb916dc6~mv2.jpg/v1/fill/w_288,h_58,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/590b2b_75d8dabd685e4c7ea40e6cd5cb916dc6~mv2.jpg	C:/My%20Web%20Sites/SUDHARSHAN/static.wixstatic.com/media/590b2b_75d8dabd685e4c7ea40e6cd5cb916dc6_mv2.jpg/v1/fill/w_288,h_58,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/590b2b_75d8dabd685e4c7ea40e6cd5cb916dc6_mv2.jpg	(from https://sudharshanportfolio.wixsite.com/portfolio)
17:24:40	465678/465678	---MCZ	200	added ('OK')	text/html	etag:W/%22d7cf2586f0cceac442825debf4203639%22	https://sudharshanportfolio.wixsite.com/portfolio/portfolio	C:/My%20Web%20Sites/SUDHARSHAN/sudharshanportfolio.wixsite.com/portfolio/portfolio.html	(from https://sudharshanportfolio.wixsite.com/portfolio)
17:24:41	450982/450982	---MCZ	200	added ('OK')	text/html	etag:W/%22301436407d5b735b15da95167ba0d621%22	https://sudharshanportfolio.wixsite.com/portfolio/projects-6	C:/My%20Web%20Sites/SUDHARSHAN/sudharshanportfolio.wixsite.com/portfolio/projects-6.html	(from https://sudharshanportfolio.wixsite.com/portfolio)
